ID,Fato Histórico,Verdadeiro?,Curiosidade
744,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
745,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
746,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
747,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
748,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
749,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
750,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
751,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
752,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
753,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
754,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
755,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
756,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
757,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
758,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
759,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
760,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
761,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
762,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
763,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
764,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
765,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
766,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
767,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
768,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
769,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
770,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
771,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
772,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
773,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
774,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
775,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
776,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
777,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
778,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
779,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
780,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
781,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
782,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
783,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
784,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
785,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
786,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
787,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
788,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
789,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
790,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
791,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
792,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
793,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
794,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
795,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
796,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
797,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
798,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
799,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
800,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
801,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
802,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
803,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
804,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
805,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
806,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
807,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
808,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
809,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
810,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
811,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
812,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
813,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
814,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
815,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
816,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
817,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
818,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
819,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
820,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
821,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
822,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
823,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
824,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
825,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
826,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
827,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
828,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
829,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
830,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
831,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
832,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
833,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
834,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
835,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
836,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
837,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
838,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
839,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
840,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
841,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
842,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
843,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
844,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
845,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
846,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
847,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
848,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
849,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
850,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
851,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
852,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
853,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
854,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
855,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
856,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
857,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
858,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
859,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
860,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
861,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
862,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
863,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
864,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
865,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
866,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
867,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
868,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
869,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
870,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
871,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
872,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
873,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
874,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
